Phrase1,Phrase2,Domain,Context,SimilarityScore
Angela Merkel,Government,Politics,Leadership
Cristiano Ronaldo,Government,Sports,Irrelevant
Dog,Cat,Animals,Pets
Medicine,Paracetamol,Medical,Medical
Cricket,Sachin Tendulkar,Sports,Sports
Cricket,Sports,Sports,Sports
Cricket,Yorker,Sports,Bowling
Tesla,Electric Vehicle,Energy,Innovation
AI Surveillance,Privacy,Surveillance,Ethics
Heart Surgery,Cardiologist,Medical,Expertise
Soccer,FIFA World Cup,Sports,Tournament
Lion,Predator,Animals,Wildlife
Renewable Energy,Solar Panel,Energy,Technology
Basketball,Michael Jordan,Sports,Legend
Data Encryption,Cybersecurity,Technology,Security
Water Quality,pH Levels,Water Management,Measurement
COVID-19,Vaccine,Medical,Prevention
Eiffel Tower,Tourism,Culture,Landmark
Football,Goalkeeper,Sports,Position
Polar Bear,Arctic,Animals,Habitat
Machine Learning,Neural Networks,Technology,AI
Hydropower,Dam,Energy,Generation
Marathon,Runner,Sports,Endurance
Smart Home,IoT Devices,Technology,Automation
Asthma,Inhaler,Medical,Treatment
Wildfire,Deforestation,Environment,Cause
Chess,Magnus Carlsen,Sports,Grandmaster
Elephant,Ivory,Animals,Conservation
Climate Change,Carbon Emissions,Environment,Impact
Olympics,Gold Medal,Sports,Achievement
Artificial Intelligence,Deep Learning,Technology,Subset
Rainwater Harvesting,Sustainability,Water Management,Conservation
Diabetes,Insulin,Medical,Treatment
Satellite,Space Exploration,Technology,Orbital
Python,Programming,Technology,Language
Yoga,Meditation,Wellness,Practice
Shark,Ocean,Animals,Marine
Renewable Energy,Wind Turbine,Energy,Sustainability
Gymnastics,Balance Beam,Sports,Equipment
Vaccination,Immunity,Medical,Health
Blockchain,Cryptocurrency,Technology,Finance
Amazon Rainforest,Biodiversity,Environment,Ecosystem
Olympic Games,Tokyo 2020,Sports,Event
Tiger,Endangered,Animals,Conservation
Electric Vehicle,Charging Station,Energy,Infrastructure
Renewable Energy,Geothermal,Energy,Source
Plastic Pollution,Marine Life,Environment,Threat
Marathon,Boston Marathon,Sports,Event
Cardiology,Stent,Medical,Device
Ecosystem,Biodiversity,Environment,Balance
E-sports,DOTA 2,Technology,Gaming
